customer_id,mean_purchase_cycle,median_purchase_cycle
2452,324.0,324.0
2455,6.0,6.0
2456,36.0,30.0
2460,161.0,161.0
2469,123.0,123.0
2470,11.0,11.0
2477,41.0,41.0
2478,554.0,554.0
2483,112.0,112.0
2485,164.0,164.0
2487,129.0,129.0
2490,416.0,416.0
2495,246.0,246.0
2496,260.0,260.0
2497,61.0,59.0
2499,598.0,598.0
2500,411.0,411.0
2502,158.0,158.0
2506,16.0,15.0
2507,76.0,76.0
2508,380.0,380.0
2509,383.0,383.0
2510,0.0,0.0
2513,68.0,68.0
2517,492.0,492.0
2523,679.0,679.0
2525,618.0,618.0
2527,35.0,35.0
2529,136.0,136.0
2533,62.0,62.0
2538,89.0,89.0
2541,658.0,658.0
2544,100.0,100.0
2545,61.0,49.0
2547,65.0,65.0
2549,54.0,53.0
2550,99.0,99.0
2554,130.0,130.0
2555,47.0,45.0
2557,16.0,16.0
2558,32.0,30.0
2559,21.0,21.0
2565,14.0,14.0
2569,22.0,19.0
2572,5.0,4.5
2582,27.0,27.0
2583,134.0,134.0
2591,23.0,22.0
2592,197.0,197.0
2594,22.0,20.0
2595,140.0,140.0
2598,86.0,80.0
2599,337.0,337.0
2600,36.0,36.0
2601,21.0,17.0
2602,46.0,44.0
2607,115.0,115.0
2608,18.0,18.0
2609,301.0,301.0
2610,116.0,116.0
2614,76.0,76.0
2616,294.0,294.0
2619,167.0,167.0
2622,22.0,22.0
2624,492.0,492.0
2625,7.0,7.0
2627,52.0,52.0
2630,42.0,37.0
2632,168.0,168.0
2634,82.0,82.0
2636,301.0,301.0
2638,91.0,91.0
2640,16.0,16.0
2646,25.0,24.0
2649,7.0,7.0
2657,12.0,12.0
2660,414.0,414.0
2662,63.0,63.0
2663,7.0,7.0
2665,656.0,656.0
2667,0.0,0.0
2669,679.0,679.0
2671,6.0,6.0
2674,15.0,15.0
2675,41.0,40.0
2676,601.0,601.0
2677,110.0,110.0
2678,78.0,69.0
2680,38.0,38.0
2682,236.0,236.0
2686,357.0,357.0
2690,202.0,202.0
2692,106.0,70.5
2697,40.0,38.0
2700,8.0,8.0
2704,696.0,696.0
2705,104.0,104.0
2706,60.0,60.0
2708,82.0,82.0
2710,401.0,401.0
2711,74.0,56.0
2712,11.0,11.0
2715,140.0,140.0
2716,62.0,54.0
2723,14.0,14.0
2724,59.0,54.0
2728,45.0,45.0
2729,48.0,45.0
2730,367.0,367.0
2736,164.0,146.0
